All,Microalgae,Cyanobacteria,Both Organisms,Biostimulant,Biofertilizer,Biopesticide,Biofertilizer & Biostimulant,Biostimulant & Biopesticide,Biofertilizer & Biopesticide,Synthetic,Wastewater,Both mediums
4,2.0,2.0,,,4.0,,,,,4,,
3,,2.0,1.0,1.0,2.0,,,,,3,,
1,,1.0,,1.0,,,,,,1,,
2,,1.0,1.0,,,1.0,1.0,,,2,,
2,1.0,,1.0,1.0,1.0,,,,,1,1.0,
2,,2.0,,,1.0,1.0,,,,2,,
4,,4.0,,,3.0,1.0,,,,4,,
3,1.0,2.0,,,2.0,1.0,,,,3,,
5,,5.0,,1.0,4.0,,,,,5,,
9,,7.0,2.0,6.0,1.0,1.0,1.0,,,9,,
8,1.0,7.0,,3.0,2.0,2.0,1.0,,,8,,
8,1.0,7.0,,,5.0,2.0,1.0,,,7,1.0,
15,2.0,13.0,,10.0,4.0,1.0,,,,14,1.0,
7,,6.0,1.0,5.0,2.0,,,,,7,,
15,3.0,10.0,2.0,3.0,9.0,2.0,,,1.0,14,1.0,
17,2.0,13.0,2.0,8.0,8.0,,1.0,,,13,3.0,1.0
14,2.0,10.0,2.0,6.0,7.0,,1.0,,,13,1.0,
27,9.0,15.0,3.0,15.0,11.0,1.0,,,,26,1.0,
34,16.0,15.0,3.0,11.0,22.0,1.0,,,,29,5.0,
55,27.0,21.0,7.0,29.0,22.0,2.0,2.0,,,44,11.0,
63,29.0,26.0,8.0,29.0,24.0,4.0,4.0,2.0,,48,13.0,2.0
32,14.0,16.0,2.0,20.0,9.0,2.0,1.0,,,28,4.0,
